"k","l","cm","n_missings"
1,1,[260 4 2 2 5 2 15 3 4 1; 0 336 1 0 3 2 1 2 0 3; 4 5 293 4 2 4 2 4 6 4; 8 15 3 258 0 13 5 10 13 5; 7 8 3 0 281 1 2 4 0 27; 10 11 1 10 2 238 27 3 9 8; 16 3 1 1 1 9 305 2 4 0; 1 7 4 2 0 0 1 306 2 4; 4 8 9 18 1 11 27 1 258 7; 5 17 5 8 40 0 0 11 2 243],0
2,1,[253 4 3 4 8 4 11 2 6 3; 0 335 1 0 2 2 3 1 0 4; 8 6 276 8 3 5 2 12 3 5; 7 19 7 249 0 11 5 16 10 6; 4 16 3 0 273 0 2 4 0 31; 9 11 2 10 4 234 26 3 11 9; 16 5 2 0 2 9 298 1 9 0; 1 10 4 1 0 0 3 301 3 4; 6 7 9 19 1 11 23 4 248 16; 5 20 3 3 36 4 1 13 2 244],0
2,2,[223 3 0 1 2 0 2 1 2 0; 0 323 1 0 2 0 0 1 0 1; 3 3 252 0 1 1 0 2 0 1; 6 13 1 209 0 0 0 5 2 2; 0 4 0 0 237 0 1 2 0 9; 3 5 0 4 1 193 15 0 1 3; 7 2 1 0 0 2 264 1 2 0; 1 5 1 0 0 0 0 285 1 1; 1 4 2 3 0 3 8 0 208 1; 1 10 1 1 15 0 0 7 1 188],732
3,1,[256 6 3 3 3 1 12 3 8 3; 0 335 2 2 2 1 0 3 1 2; 6 5 282 5 3 2 1 12 7 5; 12 22 7 247 0 12 4 11 7 8; 4 16 1 0 280 2 2 4 2 22; 7 15 1 13 2 231 28 5 8 9; 18 3 4 0 1 3 303 1 9 0; 1 9 5 0 0 0 1 303 2 6; 9 8 5 16 0 9 20 4 261 12; 3 22 4 4 31 0 2 12 4 249],0
3,2,[251 4 1 2 2 1 10 2 4 2; 0 334 2 0 2 0 0 3 0 2; 3 5 277 2 1 1 0 6 4 3; 9 20 3 235 0 7 2 10 4 3; 0 14 0 0 272 0 2 3 1 19; 5 11 0 11 2 222 21 3 5 7; 15 3 1 0 0 2 295 1 6 0; 1 9 2 0 0 0 1 301 2 2; 4 6 4 9 0 4 13 1 253 8; 3 20 2 4 26 0 0 10 2 245],230
3,3,[199 2 0 0 1 0 1 1 2 0; 0 311 0 0 0 0 0 1 0 0; 1 1 227 0 1 0 0 1 0 0; 2 8 1 171 0 0 0 1 1 1; 0 3 0 0 191 0 1 2 0 5; 1 3 0 1 0 148 5 0 0 1; 2 2 1 0 0 0 225 1 0 0; 0 4 0 0 0 0 0 261 0 0; 1 2 0 0 0 1 4 0 167 1; 1 9 0 1 8 0 0 2 0 143],1169
4,1,[260 5 2 4 4 0 11 2 7 3; 0 336 1 0 4 0 1 4 0 2; 5 5 286 6 3 2 2 13 3 3; 10 22 5 253 0 15 4 14 4 3; 2 20 1 1 270 0 5 4 1 29; 9 16 3 12 4 230 23 3 10 9; 18 5 1 0 0 5 303 2 8 0; 1 10 6 1 0 0 1 304 2 2; 5 8 3 16 0 7 19 1 271 14; 4 24 4 5 35 2 0 12 3 242],0
4,2,[261 5 1 4 2 0 10 1 5 4; 0 335 2 0 2 0 1 3 0 4; 5 5 284 3 2 2 2 9 4 4; 10 23 5 246 0 12 3 13 4 3; 1 18 1 0 274 0 3 4 1 25; 7 15 2 9 5 230 26 2 6 9; 17 5 1 0 0 3 298 1 10 0; 1 9 4 1 0 0 0 305 3 1; 5 7 3 11 0 7 18 1 269 8; 3 24 3 5 29 1 0 10 2 247],71
4,3,[235 3 1 1 1 0 4 1 2 1; 0 326 1 0 0 0 0 2 0 0; 2 3 257 0 1 1 0 3 0 0; 4 12 2 199 0 1 0 5 2 1; 0 8 0 0 240 0 2 3 0 10; 2 5 0 3 0 183 9 1 1 3; 9 3 1 0 0 1 272 1 2 0; 0 7 0 0 0 0 0 286 0 0; 1 6 0 2 0 2 7 0 215 3; 2 17 0 4 16 0 0 5 0 202],695
4,4,[178 2 0 0 1 0 0 1 2 0; 0 303 0 0 0 0 0 0 0 0; 0 1 200 0 0 0 0 1 0 0; 0 6 0 138 0 0 0 1 0 0; 0 2 0 0 158 0 1 0 0 1; 0 1 0 0 0 127 3 0 0 0; 1 2 0 0 0 0 191 1 0 0; 0 3 0 0 0 0 0 243 0 0; 0 1 0 0 0 1 2 0 137 1; 1 8 0 0 4 0 0 1 0 114],1462
